date;city;duration;shape;location
14/07/2006;los angeles;105;CIRCULAR;(34.0522222,-118.2427778)
21/03/2001;hamden;40;OTRA;(41.3958333,-72.8972222)
21/05/2005;arlington;180;OTRA;(32.7355556,-97.1077778)
29/04/2005;lake city;12;OTRA;(30.1894444,-82.6394444)
29/04/2005;orange park;300;CIRCULAR;(30.1658333,-81.7066667)
29/04/2005;miami;300;TRIANGULAR;(25.7738889,-80.1938889)
29/04/2005;goldsboro;600;OTRA;(35.3847222,-77.9930556)
29/04/2005;clearwater;120;OTRA;(27.9655556,-82.8002778)
29/04/2005;palm city;120;OTRA;(27.1675,-80.2663889)
29/04/2005;deerfield beach;180;OTRA;(26.3180556,-80.1)
29/04/2005;lithia;30;OTRA;(27.85,-82.175)
29/04/2005;floral city;30;TRIANGULAR;(28.7497222,-82.2969444)
29/04/2005;jacksonville;240;OTRA;(30.3319444,-81.6558333)
29/04/2005;wilmington;300;OTRA;(34.2255556,-77.945)
29/04/2005;kissimmee;120;OTRA;(28.2916667,-81.4077778)
29/04/2005;charleston;300;OTRA;(32.7763889,-79.9311111)
29/04/2005;pembroke pines;180;OTRA;(26.0027778,-80.2241667)
29/04/2005;tampa;600;OTRA;(27.9472222,-82.4586111)
10/12/2007;lake worth;300;OTRA;(26.6155556,-80.0572222)
26/10/2012;russell;180;OTRA;(41.9413889,-79.1352778)
02/07/2012;atlantic beach;5;OTRA;(34.6988889,-76.7405556)
10/11/2013;sylvan lake;600;TRIANGULAR;(42.6113889,-83.3286111)
13/07/2013;eufaula (close to);3;OTRA;(31.8911111,-85.1455556)
12/07/2005;parker;180;OTRA;(34.15,-114.2883333)
09/07/2005;brook park (w. cleveland);300;OTRA;(41.3983333,-81.8047222)
11/07/2004;blowing rock;20;OTRA;(36.135,-81.6777778)
15/09/2004;omaha;12;OTRA;(41.2586111,-95.9375)
04/07/2005;craigsville;120;OTRA;(38.3305556,-80.6533333)
07/08/2003;fairbanks;5400;CIRCULAR;(64.8377778,-147.7163889)
18/10/2005;oak forest;1200;OTRA;(41.6027778,-87.7438889)
31/07/2005;sophia;7200;OTRA;(37.7075,-81.2508333)
12/10/2005;georgetown;7200;OTRA;(30.6325,-97.6769444)
11/06/1920;cicero;60;OTRA;(40.1238889,-86.0133333)
16/10/2005;north zulch;900;CIRCULAR;(30.9175,-96.1080556)
23/06/2005;hartland;3600;OTRA;(43.5405556,-72.3994444)
03/10/2005;whitefield;14400;OTRA;(44.3730556,-71.6105556)
20/05/2005;plains;240;OTRA;(41.2752778,-75.8505556)
14/11/2005;petaluma;3;OTRA;(38.2325,-122.6355556)
23/01/2014;greenfield;180;OTRA;(40.4213889,-79.9436111)
30/09/2005;mitchell;20;OTRA;(38.7327778,-86.4736111)
27/04/2005;portland;3;OTRA;(45.5236111,-122.675)
18/10/2005;brazil;600;CIRCULAR;(39.5236111,-87.125)
17/10/2005;kearns;5;OTRA;(40.66,-111.9955556)
11/07/2009;dawsonville;1800;OTRA;(34.4211111,-84.1191667)
22/09/2005;north hollywood;600;OTRA;(34.1722222,-118.3780556)
22/09/2005;corona;60;OTRA;(33.8752778,-117.5655556)
25/02/2005;seeley lake;1800;OTRA;(47.1794444,-113.4836111)
02/09/2000;la jolla;40;OTRA;(32.8472222,-117.2733333)
28/06/2005;gila bend;900;OTRA;(32.9477778,-112.7161111)
17/10/2005;wixom;180;OTRA;(42.5247222,-83.5363889)
06/02/2008;new iberia;300;OTRA;(30.0033333,-91.8186111)
06/01/2014;lewisburg;1200;TRIANGULAR;(37.8016667,-80.4458333)
29/06/2012;lafayette;180;OTRA;(30.2238889,-92.0197222)
26/02/2014;seattle;300;TRIANGULAR;(47.6063889,-122.3308333)
16/10/2000;woodstock;600;OTRA;(41.9483333,-71.9744444)
24/05/2001;springfield;900;OTRA;(42.3263889,-85.2391667)
02/11/2005;wyoming;600;OTRA;(42.9133333,-85.7052778)
28/01/2006;hemet;60;OTRA;(33.7475,-116.9711111)
02/03/2006;ronkonkoma;6;CIRCULAR;(40.8152778,-73.1127778)
20/03/2005;tuscola;60;OTRA;(32.2094444,-99.7963889)
12/04/2010;camillus;600;OTRA;(43.0391667,-76.3044444)
08/12/2005;redlands;600;OTRA;(34.0555556,-117.1816667)
05/12/1999;weogufka;7;OTRA;(33.0163889,-86.3122222)
26/09/2013;lake worth;240;OTRA;(26.6155556,-80.0572222)
01/01/2014;hickory;60;TRIANGULAR;(35.7330556,-81.3413889)
26/05/2007;vacaville;60;OTRA;(38.3566667,-121.9866667)
19/09/2009;berwick;20;TRIANGULAR;(43.2658333,-70.865)
01/12/2001;parker (se of);45;OTRA;(39.5186111,-104.7608333)
28/10/2007;overland park;20;TRIANGULAR;(38.9822222,-94.6705556)
17/06/2013;shelbyville;7200;OTRA;(35.4833333,-86.4602778)
12/09/1998;shalimar;600;OTRA;(30.4455556,-86.5791667)
22/01/2002;salisbury;20;OTRA;(38.3605556,-75.5997222)
06/01/2012;boonville;600;OTRA;(38.9736111,-92.7430556)
30/09/2010;pontiac;480;OTRA;(42.6388889,-83.2911111)
17/09/2009;cincinnati;900;CIRCULAR;(39.1619444,-84.4569444)
04/06/1998;panama city beach;900;TRIANGULAR;(30.1763889,-85.8055556)
30/06/1966;blocksburg;600;OTRA;(40.2761111,-123.6352778)
17/11/1998;south lake tahoe (meyers);300;OTRA;(38.9333333,-119.9833333)
12/08/2010;virginia beach;420;TRIANGULAR;(36.8527778,-75.9783333)
29/09/2012;seattle;240;OTRA;(47.6063889,-122.3308333)
26/10/2004;lansing;15;OTRA;(42.7325,-84.5555556)
23/10/2004;apopka;1200;OTRA;(28.6802778,-81.5097222)
07/06/2013;overland park;600;OTRA;(38.9822222,-94.6705556)
04/07/1997;st. louis;1;OTRA;(38.6272222,-90.1977778)
04/01/2014;norfolk;1800;CIRCULAR;(36.8466667,-76.2855556)
08/03/2014;jacksonville;120;CIRCULAR;(30.3319444,-81.6558333)
25/01/1999;west elkton;900;OTRA;(40.7619444,-80.6988889)
23/04/2008;newport;60;OTRA;(44.6369444,-124.0522222)
07/01/2007;honey grove;120;CIRCULAR;(33.5833333,-95.9097222)
20/01/1951;palm springs;3;OTRA;(33.8302778,-116.5444444)
30/09/2001;phoenix;10;OTRA;(33.4483333,-112.0733333)
08/02/2008;carlsbad;180;OTRA;(33.1580556,-117.3497222)
14/02/1991;selma;60;OTRA;(36.5708333,-119.6111111)
01/02/2008;sanford;300;OTRA;(28.8002778,-81.2733333)
23/11/2004;pearland;480;OTRA;(29.5633333,-95.2858333)
03/03/2006;whittier;3600;OTRA;(33.9791667,-118.0319444)
09/03/2006;devore;900;OTRA;(34.2163889,-117.4005556)
15/03/2008;buckeye;15;CIRCULAR;(33.3702778,-112.5830556)
20/03/2013;shelby;300;OTRA;(41.5161111,-95.45)
21/03/2011;sarasota;5;OTRA;(27.3361111,-82.5308333)
03/03/2013;sunset;1800;TRIANGULAR;(41.1363889,-112.0302778)
07/04/2011;valatie;300;OTRA;(42.4133333,-73.6736111)
17/04/2012;las vegas;240;OTRA;(36.175,-115.1363889)
21/04/2013;tracy;60;OTRA;(37.7397222,-121.4241667)
30/04/2009;college place;1;OTRA;(46.0494444,-118.3872222)
05/05/2012;hedgesville;15;OTRA;(39.5533333,-77.9952778)
10/05/1967;fallon;1200;OTRA;(39.4736111,-118.7763889)
11/05/2013;orlando;240;OTRA;(28.5380556,-81.3794444)
22/05/2012;fulton;600;CIRCULAR;(43.3227778,-76.4175)
22/09/2012;canoga park;120;OTRA;(34.2011111,-118.5972222)
15/06/1996;portland;1500;OTRA;(45.5236111,-122.675)
25/06/2011;fontana;240;OTRA;(34.0922222,-117.4341667)
15/07/1961;sapulpa;720;OTRA;(35.9986111,-96.1138889)
04/07/2011;university place;300;OTRA;(47.2358333,-122.5491667)
06/07/2000;columbia;600;TRIANGULAR;(38.9516667,-92.3338889)
08/07/2012;santa nella;120;OTRA;(38.4972222,-122.9655556)
09/07/2010;antioch;180;OTRA;(38.005,-121.8047222)
15/07/2006;columbia;60;TRIANGULAR;(40.0336111,-76.5047222)
15/07/1990;fenton;60;OTRA;(38.5130556,-90.4358333)
22/07/1959;allendale;300;OTRA;(37.3711111,-85.5830556)
27/07/2013;seven hills;240;CIRCULAR;(41.3952778,-81.6763889)
30/07/2011;clermont;180;OTRA;(28.5491667,-81.7730556)
04/07/2012;enumclaw;300;CIRCULAR;(47.2044444,-121.9902778)
05/08/2013;philomath;360;OTRA;(44.5402778,-123.3663889)
12/08/2011;encinitas;420;OTRA;(33.0369444,-117.2911111)
16/08/2000;salt lake city;5;OTRA;(40.7608333,-111.8902778)
22/08/1995;greensburg;300;OTRA;(37.2608333,-85.4988889)
24/08/1992;pinecrest;2;OTRA;(25.6666667,-80.3083333)
